instance;sols;fails;time;status;opt;obj;
ftv70;1;363;8006;true;1950;1950;
ftv70;1;348;6661;true;1950;1950;
ftv70;1;361;6438;true;1950;1950;
ftv70;1;355;6290;true;1950;1950;
ftv70;1;348;6541;true;1950;1950;
ftv70;1;342;6224;true;1950;1950;
ftv70;1;344;6223;true;1950;1950;
ftv70;1;340;6250;true;1950;1950;
ftv70;1;345;6998;true;1950;1950;
ftv70;1;341;6445;true;1950;1950;
ftv70;1;361;6404;true;1950;1950;
ftv70;1;355;6248;true;1950;1950;
ftv70;1;348;6314;true;1950;1950;
